,business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,is_mexican_restaurant,full_address,geocoded
39000,wnyMhlR5KCWkTCzQ1_gOUQ,"""Mi Pueblo Taqueria""","""12207 Lorain Ave""",Cleveland,OH,44111,41.4602823,-81.7731053,4.0,92,1,"12207 Lorain Ave, Cleveland, OH, 44111","(41.4602823, -81.7731053)"
39354,NkcT0GT7Xt2mtvIgHSxOcw,"""La Burrita""","""735 Bloor Street W""",Toronto,ON,M6G 1L5,43.6634163,-79.418661,3.0,13,1,"735 Bloor Street W, Toronto, ON, M6G 1L5","(43.6634163, -79.418661)"
39503,dUtSIQouki34zUC2Se-NzA,"""Taco Bell""","""1920 S Park St""",Madison,WI,53713,43.0442847,-89.39451439999999,3.5,4,1,"1920 S Park St, Madison, WI, 53713","(43.0442847, -89.39451439999999)"
39785,-5dd-RjojGVK9hjAMCXVZw,"""La Fiesta Mexican Restaurant""","""1717 Philo Rd""",Urbana,IL,61802,40.0971374,-88.1923891,3.0,13,1,"1717 Philo Rd, Urbana, IL, 61802","(40.0971374, -88.1923891)"
40128,GDsgQywUMunaLcu0RkotZA,"""Mariscos Culiacan""","""4220 S 16th St""",Phoenix,AZ,85040,33.4079167,-112.047474,4.5,3,1,"4220 S 16th St, Phoenix, AZ, 85040","(33.4079167, -112.047474)"
40621,fnZrZlqW1Z8iWgTVDfv_MA,"""Carl's Jr""","""9595 W Tropicana Ave""",Las Vegas,NV,89147,36.0997213,-115.3015846,2.5,15,1,"9595 W Tropicana Ave, Las Vegas, NV, 89147","(36.0997213, -115.3015846)"
40762,vMqUZEaqALd6Q9b4lO-62g,"""Burrito Bandidos""","""120 Peter St""",Toronto,ON,M5V 2G7,43.647974,-79.3933093,4.0,101,1,"120 Peter St, Toronto, ON, M5V 2G7","(43.647974, -79.3933093)"
41070,m6CQrFCYaeAeajKctm5NmA,"""Panchero's Mexican Grill""","""8310 Greenway Blvd""",Middleton,WI,53562,43.09062249999999,-89.5255967,2.5,3,1,"8310 Greenway Blvd, Middleton, WI, 53562","(43.09062249999999, -89.5255967)"
41322,Tyu7VY1fM7DnOuOC0G714w,"""Raul's Original""","""1109 N Dysart Rd""",Avondale,AZ,85323,33.4445267,-112.3408088,3.5,3,1,"1109 N Dysart Rd, Avondale, AZ, 85323","(33.4445267, -112.3408088)"
41474,89Nhx37ddA8isjGnOQaGVw,"""Las Palmas Mariachi Restaurant""","""953 E Sahara Ave""",Las Vegas,NV,89104,36.142247,-115.1423148,3.0,25,1,"953 E Sahara Ave, Las Vegas, NV, 89104","(36.142247, -115.1423148)"
41642,drEybjNyjXIG-qvOisPEMA,"""Taqueria Guadalajara""","""4517 N Tryon St""",Charlotte,NC,28213,35.2586675,-80.78982309999999,4.0,5,1,"4517 N Tryon St, Charlotte, NC, 28213","(35.2586675, -80.78982309999999)"
41645,JDhptB4mdm8ktmyB74NnXw,"""G's Food""","""10328 W Indian School Rd, Ste 105""",Phoenix,AZ,85037,33.4939324,-112.2825841,4.0,109,1,"10328 W Indian School Rd, Ste 105, Phoenix, AZ, 85037","(33.4939324, -112.2825841)"
42029,hifhQ-zx4g3JMoP8CxtDwg,"""Burrito Burrito""","""9200 Weston Road, Unit 21""",Woodbridge,ON,L4H 2P8,43.8280577,-79.5585657,3.5,19,1,"9200 Weston Road, Unit 21, Woodbridge, ON, L4H 2P8","(43.8280577, -79.5585657)"
42103,CCNp1qS8n2gh51X7Wadabw,"""Vince Neil's Tatuado Cantina""","""3000 Paradise Rd""",Las Vegas,NV,89109,36.135182,-115.1514897,2.0,61,1,"3000 Paradise Rd, Las Vegas, NV, 89109","(36.135182, -115.1514897)"
42185,__eb2f_wEBrEl0xCyLqDeQ,"""Mr. Taco""","""7705 South Tryon St""",Charlotte,NC,28263,35.1484076,-80.9250508,3.0,7,1,"7705 South Tryon St, Charlotte, NC, 28263","(35.1484076, -80.9250508)"
42330,Kx0MUrNQ737s-VVElk6Vig,"""Las Delicias De Las Vegas""","""2129 Industrial Rd""",Las Vegas,NV,89102,36.1469031,-115.1625231,4.0,61,1,"2129 Industrial Rd, Las Vegas, NV, 89102","(36.1469031, -115.1625231)"
42367,NOfbzTpQ7hrt6ZbJVeXUUw,"""Loco Cantina""","""6605 Las Vegas Blvd S""",Las Vegas,NV,89119,36.0677427,-115.177545,3.5,264,1,"6605 Las Vegas Blvd S, Las Vegas, NV, 89119","(36.0677427, -115.177545)"
42927,Mw1Q04VtMm3vG3pBByXRtQ,"""Taqueria Los Parados""","""3854 W Sahara Ave""",Las Vegas,NV,89102,36.145787,-115.191949,4.5,15,1,"3854 W Sahara Ave, Las Vegas, NV, 89102","(36.145787, -115.191949)"
43027,e6g-8RB8DcxUSZaPX6J2Vg,"""Taco Bell""","""230 Queen Street E""",Brampton,ON,L6V 1B8,43.6955497,-79.7502714,1.5,3,1,"230 Queen Street E, Brampton, ON, L6V 1B8","(43.6955497, -79.7502714)"
43127,sJHf_8i4iky2yU4-PS1ksQ,"""King's Tacos""","""1216 Saint Clair Avenue W""",Toronto,ON,M6E,43.6778828,-79.4446171,4.0,61,1,"1216 Saint Clair Avenue W, Toronto, ON, M6E","(43.6778828, -79.4446171)"
43321,PkL9tPTvvEtmBJvckrD_vg,"""Taco Del Mar""","""3041 Argentia Road, Unit M5""",Mississauga,ON,L5N 8P7,43.5961805,-79.7873821,3.5,17,1,"3041 Argentia Road, Unit M5, Mississauga, ON, L5N 8P7","(43.5961805, -79.7873821)"
43439,7bATb_KMu18aEDcVIowB5g,"""Taco King""","""988 Danfoth Ave""",Toronto,ON,M4J 1L9,43.6805618,-79.33759800000001,3.0,3,1,"988 Danfoth Ave, Toronto, ON, M4J 1L9","(43.6805618, -79.33759800000001)"
43442,9RQznFcE6Mhslaw0WlJ3jA,"""Paiz Latin & Vegan Food""","""3655 S Durango Dr, Ste 27""",Las Vegas,NV,89147,36.1238853,-115.2795783,4.5,39,1,"3655 S Durango Dr, Ste 27, Las Vegas, NV, 89147","(36.1238853, -115.2795783)"
43647,1MrSwj8i2VEBHdp3IsWCpQ,"""El Fish Taco""","""2457 E Tropicana Ave""",Las Vegas,NV,89121,36.099767,-115.1176927,4.5,112,1,"2457 E Tropicana Ave, Las Vegas, NV, 89121","(36.099767, -115.1176927)"
43688,ZwZmoaFB5oo-pkOMBeLZDA,"""Crazy Taco""","""2801 Central Ave""",Charlotte,NC,28205,35.219082,-80.7966386,3.0,11,1,"2801 Central Ave, Charlotte, NC, 28205","(35.219082, -80.7966386)"
43699,ewhYqXL8jLrNpwQGnGIhyw,"""Gerardo's Taco Shop""","""3655 S Rainbow Blvd, Ste 105""",Las Vegas,NV,89109,36.1225448,-115.2448069,4.0,39,1,"3655 S Rainbow Blvd, Ste 105, Las Vegas, NV, 89109","(36.1225448, -115.2448069)"
43839,M93N96pw4t_Rc3ACDm2dcw,"""Pinto""","""119 Lothian Road""",Edinburgh,EDH,EH3 9AN,55.9459855,-3.2053609,3.0,14,1,"119 Lothian Road, Edinburgh, EDH, EH3 9AN","(55.9459855, -3.2053609)"
43849,6tR7FLJkwlDspVxsfrMulQ,"""32nd Cafe""","""2822 N 32nd St""",Phoenix,AZ,85008,33.4796198,-112.0134039,4.5,11,1,"2822 N 32nd St, Phoenix, AZ, 85008","(33.4796198, -112.0134039)"
44057,sV0jRnJW3FiWIknm2QhXIw,"""Taqueria Guadalajara""","""3308 N 27th Ave""",Phoenix,AZ,85017,33.4873446,-112.1186518,4.0,12,1,"3308 N 27th Ave, Phoenix, AZ, 85017","(33.4873446, -112.1186518)"
44143,u4x6Oc5pq6VW2NGYz9ZeCg,"""The Nosh Restaurant & Bar""","""6685 W Beardsley Rd, Ste 180""",Glendale,AZ,85308,33.6667075,-112.2018604,3.0,71,1,"6685 W Beardsley Rd, Ste 180, Glendale, AZ, 85308","(33.6667075, -112.2018604)"
44346,-x2NjuDTiphKwCixSrv_SQ,"""El Milagro""","""1542 Beechview Ave""",Pittsburgh,PA,15216,40.4110793,-80.0250442,4.5,45,1,"1542 Beechview Ave, Pittsburgh, PA, 15216","(40.4110793, -80.0250442)"
44370,JJEx5wIqs9iGGATOagE8Sg,"""Baja Fresh Mexican Grill""","""7930 W Tropical Pkwy""",Las Vegas,NV,89149,36.2709431,-115.2681725,2.0,4,1,"7930 W Tropical Pkwy, Las Vegas, NV, 89149","(36.2709431, -115.2681725)"
44406,4tckq6rjAryEKG2XXJ1YVA,"""Gorditas Comarca Lagunera""","""5234 N 27th Ave""",Phoenix,AZ,85017,33.5144285,-112.1172662,4.5,9,1,"5234 N 27th Ave, Phoenix, AZ, 85017","(33.5144285, -112.1172662)"
44578,KTg-O9h0dbromB9qTF_8hQ,"""Camila's""","""7712 Sossamom Ln NW, Ste 140""",Concord,NC,28027,35.3649451,-80.7087993,4.5,3,1,"7712 Sossamom Ln NW, Ste 140, Concord, NC, 28027","(35.3649451, -80.7087993)"
44726,oB2_XXYG9c8bgJL9sFP3DQ,"""Baja Fresh Mexican Grill""","""50 N Central Ave""",Phoenix,AZ,85004,33.4491058,-112.0740684,3.5,22,1,"50 N Central Ave, Phoenix, AZ, 85004","(33.4491058, -112.0740684)"
44745,cD9Unn6ELSONeCR2Y6Rgxw,"""Cocomo Joe's""","""28244 N Tatum Blvd""",Cave Creek,AZ,85331,33.7423907,-111.9795896,2.5,54,1,"28244 N Tatum Blvd, Cave Creek, AZ, 85331","(33.7423907, -111.9795896)"
44830,yG9SpxEQVIhk6e1o3jbSKg,"""Agave Tequileria & Cocina""","""20 Main St""",Westlake,OH,44145,41.4603399,-81.95265049999999,3.0,14,1,"20 Main St, Westlake, OH, 44145","(41.4603399, -81.95265049999999)"
44989,OO9vWkVYBqhfx5mrbOdgbQ,"""Mee-Ho""","""6670 Saint Hubert Street""",Montréal,QC,H2S 2M3,45.53736,-73.6061859,3.5,7,1,"6670 Saint Hubert Street, Montréal, QC, H2S 2M3","(45.53736, -73.6061859)"
45488,EmezZdxbvjydG5FkN6Mecw,"""Fiesta Ranchero""","""1805 S Neil St""",Champaign,IL,61820,40.0941487,-88.2457161,2.0,4,1,"1805 S Neil St, Champaign, IL, 61820","(40.0941487, -88.2457161)"
45930,cKRGB46UJp3z3TgVlzk4tw,"""Sirena Taco Joint & Bar""","""3909 Washington Rd, Ste 201""",McMurray,PA,15317,40.271532,-80.1255422,3.0,67,1,"3909 Washington Rd, Ste 201, McMurray, PA, 15317","(40.271532, -80.1255422)"
46136,_zCwyuW5XrRKw8oK8EM49A,"""Burrito King""","""404 E Green St""",Champaign,IL,61820,40.1104457,-88.2330726,3.5,23,1,"404 E Green St, Champaign, IL, 61820","(40.1104457, -88.2330726)"
46291,UZYOo3nCn7FPUzV7TMVHNA,"""Theresa's Hacienda""","""1109 N Dysart Rd""",Avondale,AZ,85323,33.4445267,-112.3408088,3.0,4,1,"1109 N Dysart Rd, Avondale, AZ, 85323","(33.4445267, -112.3408088)"
46594,KxGVWLAhwWjEOWfx2R2T8Q,"""Qdoba Mexican Grill""","""2855 W Ray Rd, Ste 1""",Chandler,AZ,85224,33.31991259999999,-111.8903751,2.5,19,1,"2855 W Ray Rd, Ste 1, Chandler, AZ, 85224","(33.31991259999999, -111.8903751)"
46831,NrZLuREHIfKIeVwSH4G43A,"""Taco Bell""","""1835 E Southern Ave""",Tempe,AZ,85282,33.3926728,-111.9071344,2.5,6,1,"1835 E Southern Ave, Tempe, AZ, 85282","(33.3926728, -111.9071344)"
46942,Ks9nrEuLdjmrLH9uXz_G8A,"""Chipotle Mexican Grill""","""6602 E Superstition Springs Blvd, Pad C""",Mesa,AZ,85206,33.3857541,-111.6905265,3.5,56,1,"6602 E Superstition Springs Blvd, Pad C, Mesa, AZ, 85206","(33.3857541, -111.6905265)"
46973,QcpalLGkXwofyrWaIJNXVA,"""La Cabana""","""467 Danforth Avenue""",Toronto,ON,M4K 1P1,43.6777461,-79.3500912,3.5,22,1,"467 Danforth Avenue, Toronto, ON, M4K 1P1","(43.6777461, -79.3500912)"
47175,e9shtyZ7-9GYcbPIVV--XQ,"""Escobar's Restaurant""","""6 E Columbia Ave""",Champaign,IL,61820,40.1212337,-88.2428097,4.0,147,1,"6 E Columbia Ave, Champaign, IL, 61820","(40.1212337, -88.2428097)"
47404,7qc4FTqDmES4GUPFZYkwwg,"""El Jacal""","""1056 Bloor Street W""",Toronto,ON,M6H 1M3,43.6606744,-79.43260980000001,3.5,10,1,"1056 Bloor Street W, Toronto, ON, M6H 1M3","(43.6606744, -79.43260980000001)"
47414,vLO7WdSy53qYHXl_PiRf1w,"""Don Miguel's""","""The Orleans Hotel & Casino, 4500 W Tropicana Ave""",Las Vegas,NV,89173,36.1026234,-115.2019354,3.0,8,1,"The Orleans Hotel & Casino, 4500 W Tropicana Ave, Las Vegas, NV, 89173","(36.1026234, -115.2019354)"
47501,fd0xELX7-1qth_yFl7Q9UQ,"""La Tortilleria""","""68 Wales Ave""",Toronto,ON,M4W 1A7,43.65303,-79.4041285,3.5,8,1,"68 Wales Ave, Toronto, ON, M4W 1A7","(43.65303, -79.4041285)"
47784,VBtBt1bTxn_ZSDyheWZtHg,"""Cactus Rose Cafe""","""15080 Idlewild Rd""",Matthews,NC,28104,35.1220302,-80.6536745,3.0,16,1,"15080 Idlewild Rd, Matthews, NC, 28104","(35.1220302, -80.6536745)"
47938,6zi7dAlnk7vgvlGbUMoKkA,"""Maverick Rock Taco""","""1513 Montford Dr""",Charlotte,NC,28209,35.1707795,-80.8501039,3.5,194,1,"1513 Montford Dr, Charlotte, NC, 28209","(35.1707795, -80.8501039)"
48161,6XpqswYWoSOx0a9MkosVRA,"""Tia Shorty's Authentic Mexican Food""","""7001 N Scottsdale Rd""",Scottsdale,AZ,85253,33.5394154,-111.9247687,4.0,138,1,"7001 N Scottsdale Rd, Scottsdale, AZ, 85253","(33.5394154, -111.9247687)"
48195,jS3U9iEGnJY7j5oT9iDN7A,"""Macayo's Mexican Restaurants""","""11107 N Scottsdale Rd""",Scottsdale,AZ,85254,33.587019,-111.9254673,3.0,198,1,"11107 N Scottsdale Rd, Scottsdale, AZ, 85254","(33.587019, -111.9254673)"
48273,b8ublvizuqIw3Ib8pK4fDw,"""Verde Mexican Kitchen & Cantina""","""5491 Penn Ave""",Pittsburgh,PA,15206,40.4644909,-79.9327945,3.5,268,1,"5491 Penn Ave, Pittsburgh, PA, 15206","(40.4644909, -79.9327945)"
48683,0AQnRQw34IQW9-1gJkYnMA,"""Diablo's Cantina""","""3770 Las Vegas Blvd S""",Las Vegas,NV,89109,36.1050192,-115.1736471,3.0,1134,1,"3770 Las Vegas Blvd S, Las Vegas, NV, 89109","(36.1050192, -115.1736471)"
49118,XUd04lS8I5KXQgn7Od0qEw,"""Taco Bell""","""6055 Creditview Road""",Mississauga,ON,L5V 2A8,43.5985927,-79.7114817,2.5,10,1,"6055 Creditview Road, Mississauga, ON, L5V 2A8","(43.5985927, -79.7114817)"
49152,vCD4a4nLeafjsNImVrCKXg,"""San Felipes Cantina""","""21001 N Tatum""",Phoenix,AZ,85050,33.6790764,-111.9767701,3.0,34,1,"21001 N Tatum, Phoenix, AZ, 85050","(33.6790764, -111.9767701)"
49582,nkS11S4W9c6MR-dexoJhig,"""La Hacienda""","""3075 Clairton Blvd""",West Mifflin,PA,15122,40.3382249,-79.94480229999999,3.0,5,1,"3075 Clairton Blvd, West Mifflin, PA, 15122","(40.3382249, -79.94480229999999)"
49770,IoyamGmKao_hfQBvFKihyA,"""Amigo's Mexican Cantina""","""777 W Lake Mead Pkwy""",Henderson,NV,89015,36.0324393,-115.0086004,3.0,70,1,"777 W Lake Mead Pkwy, Henderson, NV, 89015","(36.0324393, -115.0086004)"
50002,s7LncUuPc9yaZ7wDsIALGg,"""3 Margaritas""","""4717 E Bell Rd""",Phoenix,AZ,85032,33.6401895,-111.9795107,2.5,8,1,"4717 E Bell Rd, Phoenix, AZ, 85032","(33.6401895, -111.9795107)"
50275,I1qgWmIEIpnZF-uj6F-aCw,"""Salty Senorita""","""8011 W Paradise Ln""",Peoria,AZ,85382,33.63473159999999,-112.22783,2.5,234,1,"8011 W Paradise Ln, Peoria, AZ, 85382","(33.63473159999999, -112.22783)"
50288,IVj-O_DFlIoA2L_berM1OA,"""Paletas Y Helados De Michoacan""","""6355 N Commerce St, Ste 107""",North Las Vegas,NV,89031,36.2756254,-115.1447921,5.0,4,1,"6355 N Commerce St, Ste 107, North Las Vegas, NV, 89031","(36.2756254, -115.1447921)"
50626,RWYQMss0RzbtDGGwRI3iaQ,"""Chimichanga Mexican Grill & Tequila Bar""","""2360 Yonge St""",Toronto,ON,M4P 2E6,43.7086393,-79.3989817,2.5,29,1,"2360 Yonge St, Toronto, ON, M4P 2E6","(43.7086393, -79.3989817)"
50770,ozRLiQiPKx3kyYWNNfv8qA,"""Baja Fresh Mexican Grill""","""10120 W McDowell Rd, Ste 160""",Avondale,AZ,85323,33.4650914,-112.277737,4.0,9,1,"10120 W McDowell Rd, Ste 160, Avondale, AZ, 85323","(33.4650914, -112.277737)"
51014,X6cRW_TVuYhhHx8eaIk8Sw,"""Pancho's Mexican Buffet""","""1003 E Indian School Rd""",Phoenix,AZ,85014,33.4943836,-112.0606315,2.5,29,1,"1003 E Indian School Rd, Phoenix, AZ, 85014","(33.4943836, -112.0606315)"
51295,K5lajhnoiTXNSkFxjh2Etg,"""Big Burrito""","""4920 W Thunderbird Rd""",Glendale,AZ,85306,33.6116488,-112.1652835,3.0,17,1,"4920 W Thunderbird Rd, Glendale, AZ, 85306","(33.6116488, -112.1652835)"
51395,Zf1vIlxXnqNYpfSDbT8MnA,"""La Tequilera""","""1175A Rue Crescent""",Montréal,QC,H3G 2B1,45.496425,-73.5737,1.5,3,1,"1175A Rue Crescent, Montréal, QC, H3G 2B1","(45.496425, -73.5737)"
51768,fNWHcOdNAjuK7jpEsiYeNw,"""Jolina Tex Mex Kitchen & BBQ""","""500 S College St""",Charlotte,NC,28202,35.2233272,-80.84673889999999,2.5,5,1,"500 S College St, Charlotte, NC, 28202","(35.2233272, -80.84673889999999)"
51825,HGLMe4y0y_VsBkDLdpfBLA,"""Papi Chulo's Mexican Grill & Cantina""","""5101 N Scottsdale Rd""",Scottsdale,AZ,85250,33.5108012,-111.9255139,3.0,193,1,"5101 N Scottsdale Rd, Scottsdale, AZ, 85250","(33.5108012, -111.9255139)"
51944,ApWggpJxz6yvVccJURF7MQ,"""Nachos Fiesta""","""Fountain Park Centre""",Edinburgh,EDH,EH11 1AF,55.9420523,-3.2166677,3.5,7,1,"Fountain Park Centre, Edinburgh, EDH, EH11 1AF","(55.9420523, -3.2166677)"
52113,Jhz_aUT4i84Wt8KAZVGXVA,"""Casa de Mateo""","""438 Rue Saint-Francois-Xavier""",Montréal,QC,H2Y 2T3,45.5031547,-73.5563438,3.0,20,1,"438 Rue Saint-Francois-Xavier, Montréal, QC, H2Y 2T3","(45.5031547, -73.5563438)"
52221,MAhuHiUpN403DsDDqdyabA,"""Raby's""","""66 Overlea Blvd""",Toronto,ON,M4H 1C5,43.7081717,-79.3425512,3.0,7,1,"66 Overlea Blvd, Toronto, ON, M4H 1C5","(43.7081717, -79.3425512)"
52346,KTQHeWmwLxDQEt7GN7n3pA,"""Las Famosas De Jose""","""400 N Nellis Blvd""",Las Vegas,NV,89110,36.1668275,-115.0615657,3.5,9,1,"400 N Nellis Blvd, Las Vegas, NV, 89110","(36.1668275, -115.0615657)"
52403,Y1lzSa9u-XqzC7RrQO2nig,"""Rey Azteca""","""9399 State Rt 30""",Irwin,PA,15642,40.3229807,-79.6983828,4.5,16,1,"9399 State Rt 30, Irwin, PA, 15642","(40.3229807, -79.6983828)"
52748,x0BGoNkWuJeyvDQQL8Fk6g,"""Chez Frida""","""5647 Chemin de la Côte-des-Neige""",Montréal,QC,H3T 1Y8,45.498574,-73.626773,3.0,10,1,"5647 Chemin de la Côte-des-Neige, Montréal, QC, H3T 1Y8","(45.498574, -73.626773)"
52832,quBpp-CIt-XWF_4rIsM_jQ,"""Beach Club Cantina""","""9832 W Northern Ave, Ste 1650""",Peoria,AZ,85345,33.5542564,-112.2708615,4.0,42,1,"9832 W Northern Ave, Ste 1650, Peoria, AZ, 85345","(33.5542564, -112.2708615)"
52882,Y1tXlYIwg26AdewIlAd_Ng,"""Mercado""","""6961 Boulevard Saint-Laurent""",Montréal,QC,H2S 3E1,45.5332903,-73.61494929999999,5.0,4,1,"6961 Boulevard Saint-Laurent, Montréal, QC, H2S 3E1","(45.5332903, -73.61494929999999)"
53073,JA5GJINnaQQxKfoTUOBAOQ,"""Amigos Tacos""","""7425 S Durango Dr""",Las Vegas,NV,89113,36.0532899,-115.2795449,4.0,59,1,"7425 S Durango Dr, Las Vegas, NV, 89113","(36.0532899, -115.2795449)"
53188,cbm9sq6Wis6T_WmbiFy8Ag,"""Qdoba Mexican Grill""","""742 E Glendale Ave""",Phoenix,AZ,85020,33.5389739,-112.0641603,3.0,33,1,"742 E Glendale Ave, Phoenix, AZ, 85020","(33.5389739, -112.0641603)"
53299,VEeqUTODkjwera_JKy97rg,"""The Wicked Taco Shoppe""","""3108 Mayfield Rd""",Cleveland,OH,44118,41.5157472,-81.5687049,3.0,12,1,"3108 Mayfield Rd, Cleveland, OH, 44118","(41.5157472, -81.5687049)"
53859,YacxbXstfITuEDmlQIjyVg,"""Lone Star Texas Grill""","""200 Front Street W""",Toronto,ON,M5V 3K2,43.6449355,-79.386151,3.5,79,1,"200 Front Street W, Toronto, ON, M5V 3K2","(43.6449355, -79.386151)"
53971,Yqex0_J9DqqWjMVqjzB3Vg,"""Taco Express""","""1602 S Cannon Blvd""",Kannapolis,NC,28083,35.4720767,-80.61103109999999,4.5,11,1,"1602 S Cannon Blvd, Kannapolis, NC, 28083","(35.4720767, -80.61103109999999)"
54161,Mq8QTBAR7r-vUL6C2JVkRA,"""Super Burrito""","""10110 S Eastern Ave""",Henderson,NV,89052,36.0057986,-115.1118279,3.0,11,1,"10110 S Eastern Ave, Henderson, NV, 89052","(36.0057986, -115.1118279)"
54233,CH0nlZE8a5X6bUdzcqqseg,"""Totis Lucky""","""63 Pearl Rd""",Brunswick,OH,44212,41.273518,-81.83619279999999,2.0,3,1,"63 Pearl Rd, Brunswick, OH, 44212","(41.273518, -81.83619279999999)"
54248,7ozeO6N1-fLruVuBcnDKfw,"""Mi Pollo Mexican Grill""","""27600 Lorain Rd""",North Olmsted,OH,44070,41.4139841,-81.92752159999999,4.0,5,1,"27600 Lorain Rd, North Olmsted, OH, 44070","(41.4139841, -81.92752159999999)"
54392,7rpa12_EX3A-hyGtrv8o3A,"""Cocina Lucero""","""523 Yonge Street""",Toronto,ON,M4Y,43.6637855,-79.3838973,3.0,39,1,"523 Yonge Street, Toronto, ON, M4Y","(43.6637855, -79.3838973)"
54773,eGLnLiKt58jHNjGVw149Nw,"""Tacos Mexico""","""3575 W Tropicana Ave""",Las Vegas,NV,89118,36.1005039,-115.1872717,2.5,9,1,"3575 W Tropicana Ave, Las Vegas, NV, 89118","(36.1005039, -115.1872717)"
54928,9w18Hgg_UmI18YyVTP_E3Q,"""Fuzzy's Taco Shop""","""3519 University Ave""",Madison,WI,53719,43.0748676,-89.4475791,3.5,68,1,"3519 University Ave, Madison, WI, 53719","(43.0748676, -89.4475791)"
54984,Hc7tSaIHva8WLyBlPDsEjg,"""Get Some Burritos""","""309 N  Henry St""",Madison,WI,53703,43.0752074,-89.39014859999999,2.5,21,1,"309 N  Henry St, Madison, WI, 53703","(43.0752074, -89.39014859999999)"
55046,4NxIM5xpIEem1IkEkz2I7Q,"""La Cabana""","""526 S Martin L King Blvd""",Las Vegas,NV,89106,36.16522,-115.1611263,3.5,30,1,"526 S Martin L King Blvd, Las Vegas, NV, 89106","(36.16522, -115.1611263)"
55463,aEGV0W2i8HRoDFsRrMz-BA,"""Señor Pollo Restaurant""","""2500 E Cheyenne Ave""",North Las Vegas,NV,89030,36.2180425,-115.1164219,3.5,94,1,"2500 E Cheyenne Ave, North Las Vegas, NV, 89030","(36.2180425, -115.1164219)"
55473,PBR-ptw8xK_uaYzhm0JHJQ,"""Tequila's Mexican Grill & Taqueria""","""238 W Main Ave""",Gastonia,NC,28052,35.2639721,-81.18463249999999,4.0,39,1,"238 W Main Ave, Gastonia, NC, 28052","(35.2639721, -81.18463249999999)"
55611,v-RQugtZbhnINBqrIZ9l9A,"""Tacos LV""","""342 S Decatur Blvd""",Las Vegas,NV,89107,36.1686689,-115.2081251,4.0,5,1,"342 S Decatur Blvd, Las Vegas, NV, 89107","(36.1686689, -115.2081251)"
55728,RgVK8Za3n0orgm_aooV9bA,"""Federico's Mexican Food""","""9510 W Bell Rd""",Sun City,AZ,85351,33.6385542,-112.2638061,1.0,3,1,"9510 W Bell Rd, Sun City, AZ, 85351","(33.6385542, -112.2638061)"
55732,wYEAocX0vkcGN-i5rSszrg,"""El Patron Mexican Restaurant & Oyster Bar""","""2797 S Maryland Pkwy""",Las Vegas,NV,89109,36.1378396,-115.137199,3.5,22,1,"2797 S Maryland Pkwy, Las Vegas, NV, 89109","(36.1378396, -115.137199)"
55744,ms7cmWkPiSBDTnz-1sv2kQ,"""Ticoz Latin Kitchen""","""5114 N 7th St""",Phoenix,AZ,85014,33.5116413,-112.0653822,4.0,449,1,"5114 N 7th St, Phoenix, AZ, 85014","(33.5116413, -112.0653822)"
55810,wLaY0Tp4P1idAu4NUpdOSA,"""Super B Burrito""","""4935 Palo Verde Rd""",Las Vegas,NV,89119,36.1006628,-115.1484242,3.0,5,1,"4935 Palo Verde Rd, Las Vegas, NV, 89119","(36.1006628, -115.1484242)"
55861,dHugOm6IEuchuykiQL6Qfg,"""Sandbar""","""10050 N Scottsdale Rd""",Scottsdale,AZ,85253,33.5776501,-111.9277496,3.0,43,1,"10050 N Scottsdale Rd, Scottsdale, AZ, 85253","(33.5776501, -111.9277496)"
56102,sLTvF9FEpFR021_GVqjVog,"""Los Burritos""","""6320 Simmons St""",North Las Vegas,NV,89031,36.2750786,-115.1792356,3.5,3,1,"6320 Simmons St, North Las Vegas, NV, 89031","(36.2750786, -115.1792356)"
56110,Kl4jN1WUFX67JRE40QVrcg,"""San Gabriel Mexican Café""","""7000 N 16th St, Ste 140""",Phoenix,AZ,85020,33.5398025,-112.0482425,3.0,10,1,"7000 N 16th St, Ste 140, Phoenix, AZ, 85020","(33.5398025, -112.0482425)"
56116,NMHyFtEj-AX0FuG3CaAzpA,"""Salsa's Mexican Restaurant""","""7900 Stevens Mill Rd""",Stallings,NC,28104,35.1412366,-80.623976,2.5,11,1,"7900 Stevens Mill Rd, Stallings, NC, 28104","(35.1412366, -80.623976)"
56148,nOqqYZ08pgcfLxjpxiZu9Q,"""Los Rubios Mexican Food""","""2473 S Higley Rd""",Gilbert,AZ,85295,33.3056396,-111.7204302,3.0,52,1,"2473 S Higley Rd, Gilbert, AZ, 85295","(33.3056396, -111.7204302)"
56161,nICEDIVnk6OJZMaDr1Dz3A,"""Los Alegres Compadres Family Mexican Restaurant""","""315 S Polk St, Ste 4-E""",Pineville,NC,28134,35.0830473,-80.884366,3.5,4,1,"315 S Polk St, Ste 4-E, Pineville, NC, 28134","(35.0830473, -80.884366)"
56317,58c9tCvjkDRONJq8h6NLzg,"""Mexico Lindo""","""2001 Zeier Rd""",Madison,WI,53704,43.1257522,-89.2996727,4.5,13,1,"2001 Zeier Rd, Madison, WI, 53704","(43.1257522, -89.2996727)"
56458,mqqpu_OBoaQmtA4wFfG-Yg,"""Z'Tejas Southwestern Grill""","""7014 E Camelback Rd""",Scottsdale,AZ,85251,33.5041443,-111.9291418,3.5,236,1,"7014 E Camelback Rd, Scottsdale, AZ, 85251","(33.5041443, -111.9291418)"
